epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4667,0.65428,1.20535,0.95004,0.99498,0.99396,0.99494,0.88949,0.55779,0.92213,0.82995,0.0930035,3.5e-06,3.5e-06
2,5.75135,0.73377,1.21489,0.98924,0.92151,0.75465,0.88148,0.7255,0.68902,1.79533,0.89526,0.0850075,7.49817e-06,7.49817e-06
3,7.98538,0.71362,1.22494,0.97415,0.95411,0.82751,0.95019,0.76746,0.68182,1.62028,0.89517,0.0770115,1.14888e-05,1.14888e-05
4,10.2517,0.70238,1.10802,0.9711,0.94984,0.97786,0.98626,0.86865,0.49338,0.88176,0.83772,0.0690155,1.54659e-05,1.54659e-05
5,12.5289,0.6773,1.0669,0.95326,0.95968,0.94921,0.97266,0.83965,0.5731,0.95028,0.84484,0.0610194,1.94239e-05,1.94239e-05
6,14.7754,0.67134,1.07758,0.94465,0.94506,0.9745,0.98107,0.88652,0.43644,0.82473,0.82413,0.0530234,2.33568e-05,2.33568e-05
7,17.1371,0.67863,1.08554,0.96813,0.99166,0.98305,0.99302,0.86749,0.57717,0.76504,0.83412,0.0450273,2.72589e-05,2.72589e-05
8,19.3642,0.6525,1.04372,0.9451,0.9803,0.98709,0.99398,0.89978,0.40549,0.69057,0.81988,0.0370311,3.11245e-05,3.11245e-05
9,21.6729,0.66559,1.05067,0.9558,0.97542,0.99865,0.99403,0.90468,0.41734,0.69969,0.81846,0.0290349,3.49479e-05,3.49479e-05
10,23.9971,0.64279,1.00917,0.93894,0.99889,0.98859,0.99452,0.91398,0.38448,0.67047,0.81178,0.0210387,3.87236e-05,3.87236e-05
11,26.3677,0.63634,0.99239,0.95541,0.99786,0.9887,0.99462,0.90939,0.37015,0.64107,0.80935,0.0130424,4.24461e-05,4.24461e-05
12,28.7478,0.624,1.00209,0.936,0.99836,0.98841,0.99418,0.91656,0.37682,0.64764,0.80723,0.00504611,4.611e-05,4.611e-05
13,31.0482,0.63913,0.98769,0.95567,0.99804,0.9887,0.99462,0.91713,0.38004,0.63445,0.8062,4.8262e-05,4.8262e-05,4.8262e-05
14,33.3562,0.61687,0.97785,0.94585,0.99612,0.9887,0.99462,0.92066,0.36658,0.6272,0.80727,4.79644e-05,4.79644e-05,4.79644e-05
15,35.7114,0.60432,0.95716,0.92265,0.99585,0.9887,0.99462,0.91628,0.36774,0.61524,0.80948,4.76445e-05,4.76445e-05,4.76445e-05
16,37.9643,0.59877,0.96211,0.95057,0.99506,0.99327,0.99484,0.91449,0.35583,0.6231,0.80925,4.73024e-05,4.73024e-05,4.73024e-05
17,40.3582,0.5968,0.97777,0.94283,0.99322,0.99797,0.995,0.91095,0.36902,0.63466,0.80831,4.69386e-05,4.69386e-05,4.69386e-05
18,42.8535,0.58927,0.92972,0.92945,0.99809,0.98305,0.99421,0.91055,0.37649,0.64053,0.80991,4.65534e-05,4.65534e-05,4.65534e-05
19,45.1257,0.59873,0.9541,0.94282,0.99752,0.98305,0.99381,0.9126,0.3658,0.63464,0.80864,4.61471e-05,4.61471e-05,4.61471e-05
20,47.3819,0.61672,0.98345,0.92773,0.99727,0.98305,0.9937,0.91436,0.37391,0.65666,0.80764,4.57202e-05,4.57202e-05,4.57202e-05
21,49.5949,0.56792,0.89738,0.92342,0.99771,0.98305,0.99388,0.91015,0.386,0.65684,0.80889,4.52732e-05,4.52732e-05,4.52732e-05
22,51.8467,0.5708,0.91683,0.93987,0.9974,0.98305,0.99347,0.9084,0.37419,0.64137,0.80931,4.48063e-05,4.48063e-05,4.48063e-05
23,54.1501,0.59562,0.9378,0.93383,0.99746,0.98305,0.99374,0.90983,0.3787,0.63256,0.80592,4.43202e-05,4.43202e-05,4.43202e-05
24,56.4262,0.59663,0.94947,0.92789,0.99606,0.98817,0.99479,0.91203,0.37137,0.62383,0.80377,4.38152e-05,4.38152e-05,4.38152e-05
