epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42717,2.13454,2.42202,1.11612,0.82947,0.48409,0.51443,0.26284,1.62513,1.27336,0.92131,0.000653846,0.000653846,0.000653846
2,8.18576,1.70072,1.00474,0.94016,0.65451,0.5545,0.53937,0.31541,1.49084,0.96594,0.91136,0.00127694,0.00127694,0.00127694
3,11.7748,1.65683,0.8479,0.94352,0.80609,0.54028,0.5918,0.34373,1.38476,0.90752,0.91463,0.00185603,0.00185603,0.00185603
4,15.4698,1.62033,0.81189,0.92987,0.83884,0.59716,0.64326,0.38033,1.37134,0.88659,0.90565,0.001802,0.001802,0.001802
5,19.0317,1.42796,0.76925,0.91901,0.92042,0.54819,0.59745,0.38142,1.20676,0.78402,0.88037,0.001736,0.001736,0.001736
6,22.7066,1.35151,0.70827,0.89826,0.89204,0.58743,0.66461,0.401,1.12807,0.67423,0.86756,0.00167,0.00167,0.00167
7,26.3195,1.35458,0.74041,0.89906,0.79932,0.63981,0.67507,0.38785,1.14781,0.77322,0.87789,0.001604,0.001604,0.001604
8,29.7655,1.28936,0.6784,0.88909,0.89129,0.62171,0.70018,0.43746,1.16739,0.57442,0.87163,0.001538,0.001538,0.001538
9,33.1434,1.25182,0.67413,0.88212,0.90388,0.57936,0.65773,0.43985,1.04478,0.70537,0.85912,0.001472,0.001472,0.001472
10,36.5403,1.31416,0.69027,0.89157,0.81618,0.61024,0.67508,0.42232,1.10679,0.6525,0.87109,0.001406,0.001406,0.001406
11,39.9314,1.20372,0.633,0.88799,0.85701,0.6872,0.71302,0.49013,0.94861,0.56172,0.85066,0.00134,0.00134,0.00134
12,43.3492,1.23804,0.64407,0.88323,0.79162,0.64816,0.67605,0.46151,0.92357,0.69424,0.85645,0.001274,0.001274,0.001274
13,46.8738,1.13606,0.60705,0.868,0.8089,0.64929,0.70712,0.48329,0.95912,0.58744,0.86448,0.001208,0.001208,0.001208
14,50.2386,1.23069,0.63771,0.88089,0.87938,0.61137,0.71003,0.48072,0.90192,0.5538,0.8554,0.001142,0.001142,0.001142
15,53.6066,1.15588,0.60471,0.86912,0.86893,0.65877,0.73157,0.51211,0.84534,0.51436,0.84429,0.001076,0.001076,0.001076
16,57.1039,1.16458,0.61322,0.86776,0.82348,0.65403,0.71468,0.5118,0.88344,0.57094,0.84625,0.00101,0.00101,0.00101
17,60.5956,1.19986,0.62203,0.87443,0.84636,0.65269,0.72307,0.50257,0.85458,0.54577,0.84101,0.000944,0.000944,0.000944
18,64.1193,1.11062,0.60004,0.86116,0.86828,0.65608,0.72305,0.50534,0.91505,0.52893,0.84216,0.000878,0.000878,0.000878
19,67.602,1.11678,0.59566,0.86612,0.93316,0.58768,0.7204,0.49885,0.88122,0.53158,0.8471,0.000812,0.000812,0.000812
20,71.1252,1.06949,0.56921,0.85736,0.89051,0.67299,0.74784,0.55071,0.7804,0.48067,0.83499,0.000746,0.000746,0.000746
21,88.7443,0.98162,0.56071,0.82871,0.88895,0.64494,0.72307,0.49147,0.90089,0.51909,0.84572,0.00068,0.00068,0.00068
22,92.333,0.97114,0.5419,0.83647,0.90279,0.66023,0.73306,0.51142,0.87259,0.509,0.83746,0.000614,0.000614,0.000614
23,95.8696,0.94175,0.5157,0.82345,0.88102,0.66679,0.72777,0.53181,0.82875,0.48981,0.83447,0.000548,0.000548,0.000548
24,99.4366,0.93793,0.52567,0.83021,0.84427,0.69372,0.73799,0.52923,0.77713,0.51877,0.83175,0.000482,0.000482,0.000482
25,102.992,0.90995,0.50052,0.83678,0.89271,0.66351,0.74237,0.53586,0.84754,0.48316,0.83014,0.000416,0.000416,0.000416
26,106.576,0.93885,0.50153,0.84309,0.90367,0.66691,0.73938,0.54546,0.82039,0.47141,0.83116,0.00035,0.00035,0.00035
27,110.066,0.85668,0.47314,0.83293,0.88688,0.65877,0.73821,0.54821,0.80903,0.487,0.83037,0.000284,0.000284,0.000284
28,113.62,0.86778,0.47522,0.84068,0.90403,0.64455,0.72675,0.53665,0.77567,0.45434,0.82722,0.000218,0.000218,0.000218
29,117.118,0.85891,0.45951,0.82602,0.8945,0.66351,0.73684,0.55658,0.75266,0.46022,0.8258,0.000152,0.000152,0.000152
30,120.745,0.84213,0.4542,0.82918,0.90897,0.66825,0.74971,0.55725,0.74817,0.44651,0.82508,8.6e-05,8.6e-05,8.6e-05
