epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0451,0.7135,1.53665,0.89353,0.98175,0.50991,0.73949,0.6213,0.67617,2.03956,0.86659,0.000653846,0.000653846,0.000653846
2,25.6097,0.71831,0.85258,0.90865,0.94848,0.52356,0.73734,0.54356,0.79318,1.87344,0.90345,0.00118978,0.00118978,0.00118978
3,30.0112,0.69116,0.76249,0.89618,0.9521,0.75364,0.83865,0.68627,0.70282,0.70991,0.90326,0.00159372,0.00159372,0.00159372
4,34.5329,0.70302,0.704,0.89789,0.91162,0.83107,0.83786,0.68174,0.62246,0.78675,0.8801,0.001406,0.001406,0.001406
5,38.9783,0.64751,0.61267,0.88812,0.89218,0.84834,0.85458,0.70837,0.59476,0.73728,0.8705,0.001208,0.001208,0.001208
6,43.3975,0.59889,0.5551,0.87074,0.93211,0.83412,0.85185,0.71843,0.58007,0.57982,0.85443,0.00101,0.00101,0.00101
7,47.8545,0.5749,0.52044,0.85147,0.96024,0.83886,0.86383,0.72789,0.53573,0.47547,0.8514,0.000812,0.000812,0.000812
8,52.2775,0.54539,0.47193,0.84146,0.9621,0.84223,0.86474,0.73678,0.51234,0.43515,0.84392,0.000614,0.000614,0.000614
9,56.7214,0.5257,0.43515,0.83927,0.9474,0.8436,0.87197,0.73774,0.52107,0.41594,0.84018,0.000416,0.000416,0.000416
10,61.131,0.51435,0.41774,0.84259,0.96838,0.85308,0.88134,0.76001,0.48234,0.3838,0.83554,0.000218,0.000218,0.000218
