epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0066,1.03196,5.89683,1.18289,0.00269,0.61339,0.17369,0.0933,1.67504,7.51049,1.88542,0.07413,0.00013,0.00013
2,18.0633,0.9932,3.22402,1.16441,0.32953,0.60185,0.49926,0.32202,1.41922,7.44817,1.44101,0.0472649,0.000264935,0.000264935
3,25.9564,0.95056,2.44073,1.14496,0.869,0.86325,0.9405,0.76169,0.81907,2.42098,1.01237,0.0203996,0.000399609,0.000399609
4,33.6503,0.93292,2.05528,1.11871,0.89228,0.74027,0.8985,0.67803,0.92151,3.17278,1.08843,0.000498902,0.000498902,0.000498902
5,41.4442,0.91245,2.01786,1.09717,0.95444,0.95957,0.98867,0.8158,0.68959,1.60715,0.93767,0.000498048,0.000498048,0.000498048
6,49.3657,0.86512,1.75564,1.07332,0.90999,0.96672,0.97925,0.79544,0.74499,1.39811,0.94267,0.000496953,0.000496953,0.000496953
7,57.0872,0.87873,1.74314,1.06616,0.96169,0.89858,0.97798,0.83622,0.59351,1.52845,0.89106,0.000495616,0.000495616,0.000495616
8,64.8572,0.8763,1.71297,1.10756,0.89923,0.96598,0.96967,0.83577,0.61664,1.35789,0.8852,0.000494039,0.000494039,0.000494039
9,72.8497,0.84643,1.71568,1.08211,0.95855,0.94642,0.97254,0.83118,0.64067,1.25967,0.9035,0.000492224,0.000492224,0.000492224
10,80.7025,0.81441,1.58737,1.0378,0.97768,1,0.99429,0.85556,0.56023,1.0727,0.87752,0.000490173,0.000490173,0.000490173
11,88.6048,0.84082,1.62022,1.08339,0.94767,0.98928,0.99395,0.8667,0.57509,1.09573,0.87299,0.000487886,0.000487886,0.000487886
12,96.3358,0.82192,1.49237,1.05014,0.96629,0.97277,0.98755,0.84199,0.5971,1.16905,0.89216,0.000485368,0.000485368,0.000485368
13,104.255,0.85084,1.50777,1.06559,0.97876,1,0.99156,0.83574,0.63869,1.0817,0.90703,0.00048262,0.00048262,0.00048262
14,112.005,0.80693,1.38614,1.05301,0.98836,0.98245,0.99467,0.85158,0.63812,1.00917,0.90756,0.000479644,0.000479644,0.000479644
15,119.947,0.82285,1.47436,1.06907,0.98728,0.99448,0.995,0.86813,0.56288,0.97778,0.86514,0.000476445,0.000476445,0.000476445
16,127.851,0.77822,1.436,1.05101,0.97718,0.96769,0.99427,0.84501,0.62039,1.01121,0.8788,0.000473024,0.000473024,0.000473024
17,135.719,0.77195,1.32424,1.02961,0.98234,1,0.99418,0.87848,0.53652,0.86591,0.87434,0.000469386,0.000469386,0.000469386
18,143.622,0.77423,1.319,1.05983,0.98729,1,0.995,0.84098,0.65952,0.95172,0.89367,0.000465534,0.000465534,0.000465534
19,151.993,0.75178,1.26898,1.02076,0.98515,0.9984,0.99494,0.88573,0.52526,0.91966,0.86337,0.000461471,0.000461471,0.000461471
20,159.866,0.75214,1.30593,1.02037,0.99465,0.9986,0.995,0.8785,0.52858,0.82596,0.85761,0.000457202,0.000457202,0.000457202
21,167.677,0.80234,1.34908,1.06477,0.95956,0.99113,0.993,0.86335,0.62653,0.92585,0.87033,0.000452732,0.000452732,0.000452732
22,175.409,0.74222,1.26072,1.02536,0.98737,0.97872,0.9928,0.88048,0.51232,0.84781,0.85671,0.000448063,0.000448063,0.000448063
23,183.17,0.73902,1.22427,1.01743,0.97934,0.99328,0.995,0.88512,0.52219,0.80953,0.85558,0.000443202,0.000443202,0.000443202
24,191.127,0.74586,1.24421,1.02303,0.98404,0.9721,0.9946,0.89566,0.50009,0.87858,0.84624,0.000438152,0.000438152,0.000438152
25,199.278,0.75785,1.24072,1.04232,0.99237,0.98654,0.995,0.86453,0.56645,0.86208,0.87894,0.00043292,0.00043292,0.00043292
26,207.356,0.73223,1.21702,1.02569,0.99006,1,0.99289,0.86539,0.55598,0.87241,0.88271,0.000427509,0.000427509,0.000427509
27,215.454,0.71422,1.15893,1.00882,0.97315,1,0.99467,0.88508,0.48547,0.79878,0.8551,0.000421925,0.000421925,0.000421925
28,223.587,0.71155,1.14782,0.99742,0.99822,0.9984,0.995,0.87512,0.50513,0.852,0.85948,0.000416175,0.000416175,0.000416175
29,231.805,0.69861,1.1524,1.001,0.99596,0.9887,0.99478,0.88289,0.52266,0.78672,0.85759,0.000410262,0.000410262,0.000410262
30,239.86,0.73315,1.18455,1.01733,0.99197,1,0.995,0.88954,0.50442,0.7336,0.85303,0.000404194,0.000404194,0.000404194
31,248.265,0.73984,1.17136,1.01521,0.99329,0.99994,0.99467,0.88867,0.51529,0.77209,0.84093,0.000397977,0.000397977,0.000397977
32,256.512,0.71346,1.14154,1.00957,0.98517,1,0.99467,0.88395,0.51721,0.79719,0.8361,0.000391616,0.000391616,0.000391616
33,264.81,0.70934,1.14074,1.00362,0.9942,1,0.995,0.91414,0.45513,0.72079,0.83385,0.000385117,0.000385117,0.000385117
34,272.939,0.69386,1.08255,0.99256,0.98675,1,0.99467,0.90251,0.48097,0.74692,0.8529,0.000378488,0.000378488,0.000378488
35,281.073,0.72124,1.06535,1.012,0.99576,1,0.995,0.89841,0.51191,0.76453,0.8558,0.000371734,0.000371734,0.000371734
36,289.022,0.68308,1.06536,0.98903,0.99491,1,0.995,0.88103,0.51719,0.7182,0.85183,0.000364863,0.000364863,0.000364863
37,297.029,0.69122,1.1018,1.01516,0.99591,1,0.995,0.87951,0.52184,0.70676,0.86756,0.00035788,0.00035788,0.00035788
38,305.057,0.66681,1.02583,0.97404,0.99522,1,0.995,0.90573,0.4502,0.68869,0.84243,0.000350794,0.000350794,0.000350794
39,313.149,0.66843,1.07921,1.00535,0.9969,1,0.995,0.88124,0.53136,0.71823,0.8735,0.000343611,0.000343611,0.000343611
40,321.191,0.64076,0.97851,0.96866,0.99656,1,0.995,0.89883,0.49679,0.68264,0.84832,0.000336338,0.000336338,0.000336338
41,329.239,0.68273,1.01437,0.99866,0.98856,1,0.99467,0.9066,0.45895,0.69499,0.85395,0.000328982,0.000328982,0.000328982
42,337.312,0.64899,1.03103,0.97671,0.99589,1,0.995,0.90582,0.46009,0.71975,0.85134,0.00032155,0.00032155,0.00032155
43,345.329,0.65958,1.01736,0.98925,0.99648,1,0.995,0.90003,0.49344,0.66203,0.84489,0.000314051,0.000314051,0.000314051
