epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.896,1.06597,6.16633,1.22603,0.00119,0.54271,0.1462,0.10128,1.234,7.37656,1.31865,0.071145,0.000145,0.000145
2,20.0212,1.01343,3.49921,1.19962,0.0543,0.90683,0.57388,0.45929,0.69802,6.07105,0.93792,0.0412947,0.000294712,0.000294712
3,28.8687,0.98688,2.65023,1.1986,0.98421,0.56933,0.89913,0.7456,0.71497,3.92129,0.94503,0.0114433,0.000443263,0.000443263
4,37.6406,0.94313,2.37632,1.12743,0.92498,0.88546,0.97816,0.80302,0.70464,2.03568,0.96345,0.000495616,0.000495616,0.000495616
5,46.4219,0.90588,2.07926,1.10131,0.8803,0.967,0.9826,0.74907,0.87117,2.00162,1.02678,0.000492224,0.000492224,0.000492224
6,55.1338,0.88356,2.02528,1.10151,0.8966,0.93016,0.97974,0.82762,0.65381,1.75674,0.91915,0.000487886,0.000487886,0.000487886
7,63.9705,0.8612,1.91761,1.09134,0.99027,0.99091,0.99486,0.8561,0.61345,1.16655,0.88729,0.00048262,0.00048262,0.00048262
8,72.7228,0.86627,1.88944,1.0858,0.95938,0.9671,0.98716,0.84769,0.57925,1.20257,0.88143,0.000476445,0.000476445,0.000476445
9,81.388,0.87644,1.90516,1.08725,0.9565,0.96479,0.99113,0.86474,0.57314,1.22117,0.87559,0.000469386,0.000469386,0.000469386
10,90.1115,0.8327,1.72399,1.06998,0.98676,0.98501,0.99456,0.87845,0.56216,1.10268,0.85453,0.000461471,0.000461471,0.000461471
11,98.7676,0.80843,1.65537,1.06794,0.96649,0.9801,0.98202,0.85778,0.51567,1.17822,0.8533,0.000452732,0.000452732,0.000452732
12,107.613,0.84117,1.69365,1.07872,0.96631,0.99905,0.99115,0.88672,0.51052,0.99845,0.84961,0.000443202,0.000443202,0.000443202
13,116.544,0.84011,1.59218,1.06999,0.97821,0.99837,0.9911,0.8649,0.55647,0.99179,0.8714,0.00043292,0.00043292,0.00043292
14,125.378,0.78708,1.50939,1.03854,0.98951,0.99808,0.99483,0.86194,0.5567,0.94566,0.85577,0.000421925,0.000421925,0.000421925
15,134.106,0.76387,1.49773,1.02651,0.97647,0.98606,0.99122,0.8547,0.61602,0.97509,0.87531,0.000410262,0.000410262,0.000410262
16,142.948,0.7768,1.5045,1.04764,0.98542,0.99331,0.98491,0.8733,0.52163,0.97268,0.85628,0.000397977,0.000397977,0.000397977
17,151.718,0.78994,1.44161,1.04838,0.99386,0.99435,0.99284,0.89014,0.4997,0.94434,0.84512,0.000385117,0.000385117,0.000385117
18,160.549,0.75056,1.37438,1.03589,0.99748,1,0.995,0.89324,0.48043,0.86011,0.84106,0.000371734,0.000371734,0.000371734
19,169.429,0.76399,1.42084,1.03524,0.98595,1,0.995,0.86593,0.59224,0.86546,0.86072,0.00035788,0.00035788,0.00035788
20,178.007,0.75919,1.33575,1.02149,0.99591,1,0.995,0.88652,0.50337,0.84727,0.85697,0.000343611,0.000343611,0.000343611
21,186.796,0.77151,1.34238,1.03114,0.98339,0.98609,0.99452,0.90895,0.43607,0.85245,0.84775,0.000328982,0.000328982,0.000328982
22,195.523,0.72967,1.31963,1.02256,0.98851,1,0.99428,0.87444,0.55684,0.87453,0.85971,0.000314051,0.000314051,0.000314051
23,204.131,0.72416,1.26196,1.01316,0.98201,1,0.99297,0.91107,0.45028,0.84745,0.83666,0.000298877,0.000298877,0.000298877
24,212.927,0.69683,1.21202,1.00608,0.98268,1,0.99485,0.90274,0.44767,0.80489,0.83402,0.00028352,0.00028352,0.00028352
25,221.703,0.72177,1.24833,1.0323,0.98566,1,0.995,0.8867,0.51826,0.80382,0.84515,0.000268041,0.000268041,0.000268041
26,230.495,0.70566,1.2627,1.00324,0.98914,0.99908,0.99472,0.9059,0.44821,0.75525,0.83083,0.0002525,0.0002525,0.0002525
27,239.2,0.68655,1.22739,1.00794,0.99742,1,0.995,0.88913,0.51738,0.78843,0.84497,0.000236959,0.000236959,0.000236959
