timestamp,plate_id,event,total_count,location,method,notes
2025-10-09 16:28:49,1,ENTER,1,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:28:49,1,EXIT,1,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:28:50,1,ENTER,1,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:28:50,1,SEEN,1,imgs-placas,HaarCascade-Face,
2025-10-09 16:28:50,1,EXIT,1,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:28:51,2,ENTER,2,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:28:51,2,SEEN,2,imgs-placas,HaarCascade-Face,
2025-10-09 16:28:51,2,EXIT,2,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:28:51,1,ENTER,2,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:28:51,1,EXIT,2,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:28:51,1,ENTER,2,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:28:51,1,SEEN,2,imgs-placas,HaarCascade-Face,
2025-10-09 16:28:51,1,EXIT,2,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:28:51,1,ENTER,2,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:28:51,1,EXIT,2,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:28:51,1,ENTER,2,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:28:51,1,EXIT,2,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:29:04,3,ENTER,3,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:29:04,3,SEEN,3,imgs-placas,HaarCascade-Face,
2025-10-09 16:29:05,3,SEEN,3,imgs-placas,HaarCascade-Face,
2025-10-09 16:29:05,3,EXIT,3,imgs-placas,HaarCascade-Face,Salió
2025-10-09 16:29:05,3,ENTER,3,imgs-placas,HaarCascade-Face,Nuevo ID
2025-10-09 16:29:05,3,SEEN,3,imgs-placas,HaarCascade-Face,
2025-10-09 16:29:05,3,SEEN,3,imgs-placas,HaarCascade-Face,
