epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6187,0.67384,1.22568,0.96986,0.00048,0.08057,0.00028,8e-05,nan,nan,nan,0.000653846,0.000653846,0.000653846
2,59.1238,0.74791,0.64314,1.00495,0.01685,0.25118,0.00781,0.00585,nan,nan,nan,0.000884744,0.000884744,0.000884744
3,88.9054,0.65539,0.51471,0.98136,0.91027,0.80569,0.84875,0.69945,0.57506,0.67565,0.94844,0.000675641,0.000675641,0.000675641
