epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7241,1.02002,6.54444,1.15204,0.00104,0.34386,0.08889,0.02175,2.72169,8.11542,2.59915,0.08408,8e-05,8e-05
2,9.86139,1.04277,4.25819,1.17951,0.00132,0.41684,0.13077,0.10951,1.74726,7.35216,1.53884,0.0671648,0.000164839,0.000164839
3,13.8655,1.02995,3.14512,1.16814,0.24021,0.75406,0.58537,0.47684,0.925,6.81524,1.0064,0.050249,0.000249024,0.000249024
4,17.7641,0.97515,2.37353,1.13552,0.17025,0.89638,0.71859,0.54229,0.86187,6.23581,0.93092,0.0333321,0.000332063,0.000332063
5,21.6706,0.99101,2.19942,1.1243,0.18097,0.96045,0.80982,0.65212,0.69051,5.45537,0.88622,0.0164135,0.000413468,0.000413468
6,25.6827,0.91831,2.00064,1.08486,0.97613,0.72109,0.9073,0.76043,0.65934,3.75838,0.85465,0.000487886,0.000487886,0.000487886
7,29.7372,0.89965,2.2557,1.084,0.96938,0.91018,0.98568,0.83242,0.6435,2.3292,0.84222,0.00048262,0.00048262,0.00048262
8,33.7462,0.88336,1.90269,1.0763,0.97581,0.9661,0.98756,0.81294,0.72544,1.65042,0.86685,0.000476445,0.000476445,0.000476445
9,37.71,0.92131,1.78646,1.08734,0.94187,0.96046,0.97485,0.79806,0.6995,1.58806,0.85652,0.000469386,0.000469386,0.000469386
10,41.6481,0.81464,1.65098,1.03477,0.97748,0.9661,0.98695,0.83443,0.64952,1.4049,0.84214,0.000461471,0.000461471,0.000461471
11,45.6737,0.8572,1.62767,1.0498,0.97704,0.98978,0.99453,0.818,0.73469,1.20088,0.86007,0.000452732,0.000452732,0.000452732
12,49.649,0.86888,1.69203,1.05469,0.98791,0.98838,0.99421,0.85452,0.57688,1.24217,0.83097,0.000443202,0.000443202,0.000443202
13,53.6894,0.87943,1.64408,1.06182,0.93696,0.99376,0.99279,0.84616,0.5976,1.16247,0.8331,0.00043292,0.00043292,0.00043292
