epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,113.262,0.50467,0.93171,0.86574,0.99787,0.9887,0.99473,0.90668,0.4261,0.73669,0.81214,5.22683e-05,5.22683e-05,5.22683e-05
42,115.55,0.49149,0.83877,0.84983,0.99728,0.98814,0.99473,0.91057,0.39581,0.76594,0.80793,4.35288e-05,4.35288e-05,4.35288e-05
43,117.899,0.49204,0.8405,0.84735,0.98803,0.9887,0.99429,0.91925,0.38159,0.74272,0.80573,3.56141e-05,3.56141e-05,3.56141e-05
44,120.132,0.48286,0.82817,0.84082,0.98795,0.9887,0.99429,0.91667,0.39201,0.70255,0.8076,2.85553e-05,2.85553e-05,2.85553e-05
45,122.405,0.48536,0.78638,0.85018,0.98964,0.9887,0.99439,0.91208,0.39511,0.67732,0.80831,2.23803e-05,2.23803e-05,2.23803e-05
46,124.634,0.46651,0.78694,0.82476,0.98953,0.99188,0.99461,0.91723,0.39829,0.6641,0.80843,1.71135e-05,1.71135e-05,1.71135e-05
47,126.97,0.46857,0.78614,0.84841,0.99282,0.98305,0.99445,0.91776,0.39508,0.66263,0.80782,1.27757e-05,1.27757e-05,1.27757e-05
48,129.284,0.4739,0.77211,0.83729,0.99395,0.98305,0.99416,0.9212,0.38314,0.65781,0.80639,9.38391e-06,9.38391e-06,9.38391e-06
49,131.635,0.46452,0.78343,0.83941,0.99494,0.98305,0.99416,0.91944,0.37871,0.65817,0.80494,6.95161e-06,6.95161e-06,6.95161e-06
50,133.913,0.46845,0.79091,0.85146,0.99411,0.98305,0.99416,0.91713,0.37898,0.6558,0.8049,5.48838e-06,5.48838e-06,5.48838e-06
