epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99595,1.49572,2.09405,1.02911,0.7973,0.5779,0.64368,0.42951,1.03068,1.09802,0.85635,0.000653846,0.000653846,0.000653846
2,8.71455,1.22765,0.86942,0.91756,0.8779,0.62085,0.66851,0.46814,1.00389,0.87547,0.85304,0.00125515,0.00125515,0.00125515
3,12.272,1.15021,0.74804,0.92532,0.86968,0.6642,0.73746,0.47599,0.9729,0.77941,0.84984,0.00179045,0.00179045,0.00179045
4,15.8874,1.15291,0.73138,0.90769,0.78538,0.72038,0.7289,0.48485,0.94141,0.84116,0.85067,0.001703,0.001703,0.001703
5,19.415,1.06343,0.6861,0.90572,0.80744,0.65877,0.70041,0.52569,0.75764,0.68111,0.8399,0.001604,0.001604,0.001604
6,22.9399,0.99953,0.63153,0.88701,0.86788,0.70616,0.7418,0.5468,0.78987,0.65895,0.82725,0.001505,0.001505,0.001505
7,26.5027,0.98443,0.64413,0.89574,0.81796,0.72405,0.74824,0.53918,0.78096,0.61041,0.82688,0.001406,0.001406,0.001406
8,30.0932,0.98258,0.62329,0.88854,0.8855,0.72038,0.76456,0.57026,0.70102,0.54404,0.82243,0.001307,0.001307,0.001307
9,33.6085,0.92865,0.59969,0.88427,0.8489,0.70616,0.75652,0.5823,0.6987,0.57951,0.81696,0.001208,0.001208,0.001208
10,37.1506,0.94241,0.59136,0.88578,0.89564,0.70616,0.76294,0.56667,0.73744,0.53101,0.82034,0.001109,0.001109,0.001109
11,54.9297,0.84445,0.58151,0.85633,0.80973,0.7059,0.75358,0.56762,0.6434,0.62846,0.80458,0.00101,0.00101,0.00101
12,58.7195,0.83328,0.55516,0.84885,0.86856,0.68899,0.76651,0.57173,0.77402,0.58977,0.81518,0.000911,0.000911,0.000911
13,62.2734,0.83028,0.54953,0.84282,0.86048,0.72986,0.76845,0.57963,0.69148,0.53583,0.81744,0.000812,0.000812,0.000812
14,65.7983,0.80146,0.53604,0.84571,0.80251,0.73185,0.76319,0.5877,0.66006,0.551,0.8069,0.000713,0.000713,0.000713
15,69.4702,0.79667,0.52793,0.84055,0.89444,0.68271,0.77132,0.59075,0.67907,0.49329,0.80835,0.000614,0.000614,0.000614
16,73.157,0.77859,0.49885,0.83277,0.84327,0.73934,0.76794,0.58297,0.63553,0.52269,0.79622,0.000515,0.000515,0.000515
17,76.6873,0.74489,0.49262,0.83643,0.88602,0.73681,0.78596,0.62191,0.55704,0.4657,0.79514,0.000416,0.000416,0.000416
18,80.2091,0.71641,0.45258,0.82881,0.90945,0.71397,0.78469,0.61175,0.56043,0.42791,0.79391,0.000317,0.000317,0.000317
19,83.6837,0.68986,0.43233,0.83264,0.88602,0.73683,0.7802,0.62341,0.54439,0.41775,0.79106,0.000218,0.000218,0.000218
20,87.3584,0.68673,0.43531,0.8317,0.8487,0.77251,0.78836,0.6278,0.54652,0.43261,0.79134,0.000119,0.000119,0.000119
